Section	Title
25/sxx19	DESCRIPTION OF SEVEN NEW SPECIES OF UNIONIDi OF THE UNITED STATES.
24/sxx08	DESCRIPTION OF SOME NEW GENERA OF MOLLUSCA.
26/sxx05	DESCRIPTION OF SOME SPECIES OF REPTILES OBTAINED BY DR. JOHN F. BRANSFORD, ASSISTANT SURGEON UNITED STATES NAVY, WHILE ATTACHED TO THE NICARAGUAN SURVEYING EXPEDITION IN 1873.
25/sxx20	DESCRIPTION OF THREE NEW SPECIES OF TJNIONES OF THE UNITED STATES.
26/sxx06	DESCRIPTION OF TWO NEW FOSSIL SHELLS OF THE UPPER AMAZON.
27/sxx08	DESCRIPTIONS OF A NEW FOSSIL SHELL FROM PERU.
24/sxx05	DESCRIPTIONS OF A NEW RECENT SPECIES OF GLYCIMERIS, FROM BEAUFORT, NORTH CAROLINA, AND OF MIOCENE SHELLS OF NORTH CAROLINA.
46/sxx19	DESCRIPTIONS OF A NEW SUBGENUS AND NEW SPECIES OF ARVICOLINE RODENTS FROM BRITISH COLUMBIA AND WASHINGTON.
50/sxx21	DESCRIPTIONS OF FIVE NEW PHYLLOSTOME BATS.
58/sxx05	DESCRIPTIONS OF FIVE NEW SPECIES OF ORTHOPTERA FROM TONKIN.
46/sxx17	DESCRIPTIONS OF FOUR NEW SPECIES AND TWO SUBSPECIES OF WHITE-FOOTED MICE FROM THE UNITED STATES AND BRITISH COLUMBIA.
25/sxx01	DESCRIPTIONS OF MEXICAN ICHNEUMONID^.
25/sxx18	DESCRIPTIONS OF MEXICAN ICHNEUMONIDJS.
52/sxx07	DESCRIPTIONS OF NEW BEES COLLECTED BY MR. H. H. SMITH IN BRAZIL.-I.
27/sxx22	DESCRIPTIONS OF NEW FOSSIL SHELLS FROM THE TERTIARY OF CALIFORNIA.
53/sxx33	DESCRIPTIONS OF NEW HELICOID LAND SHELLS FROM JAPAN.
47/sxx02	DESCRIPTIONS OF NEW MAMMALS FROM FLORIDA AND SOUTHERN CALIFORNIA.
25/sxx16	DESCRIPTIONS OF NEW MARINE SHELLS FROM THE WEST COAST OF FLORIDA.
71/sxx03	DESCRIPTIONS OF NEW SPECIES BY JULIA A. GARDNER and T. H. ALDRICH The exact locality from which the mollusca listed in this paper were collected is known as the Muldrow Place, Sumter County, South Carolina, and is located five miles southeast of jNIayesville.
47/sxx10	DESCRIPTIONS OF NEW SPECIES OF ACHATINELLIDJE FROM THE HAWAIIAN ISLANDS.
27/sxx12	DESCRIPTIONS OF NEW SPECIES OF AMERICAN LAND AND FRESHWATER SHELLS.
30/sxx01	DESCRIPTIONS OF NEW SPECIES OF INVERTEBRATE FOSSILS FROM THE CARBONIFEROUS AND UPPER SILURIAN ROCKS OF ILLINOIS AND INDIANA.
25/sxx05	DESCRIPTIONS OF NEW SPECIES OF LAND SHELLS INHABITING THE SOUTH SEA ISLANDS.
25/sxx03	DESCRIPTIONS OF NEW SPECIES OF MARINE SHELLS INHABITING THE SOUTH SEA ISLANDS.
51/sxx22	DESCRIPTIONS OF NEW SPECIES OF MEXICAN LAND AND FRESHWATER MOLLUSKS, BY HENRY A. PILSBRY.
30/sxx08	DESCRIPTIONS OF NEW SPECIES OF NORTH AMERICAN BEES.'
45/sxx23	DESCRIPTIONS OF NEW SPECIES OF NORTH AMERICAN MAMMALS
25/sxx11	DESCRIPTIONS OF NEW SPECIES OF ORTHOPTERA.
58/sxx10	DESCRIPTIONS OF NEW SPECIES OF POLYCH^TA FROM THE SOUTHEASTERN COAST OF MASSACHUSETTS.
51/sxx09	DESCRIPTIONS OF NEW SPECIES OF TURBONILLA OF THE WESTERN ATLANTIC FAUNA, WITH NOTES ON THOSE PREVIOUSLY KNOWN.
55/sxx11	DESCRIPTIONS OF NEW, LITTLE KNOWN, AND TYPICAL ATHERINID^E.
64/sxx01	DESCRIPTIONS OF NINE NEW EELS, WITH NOTES ON OTHER SPECIES.
56/sxx05	DESCRIPTIONS OF NORTH AMERICAN ARANEiE OF THE FAMILIES LYCOSID^ AND PISAURID^:.! '
50/sxx24	DESCRIPTIONS OF THREE NEW RODENTS FROM THE OLYMPIC MOUNTAINS, WASHINGTON.
42/sxx05	DESCRIPTIONS OF THREE NEW SPECIES OF MYXOMYCETES, WITH NOTES ON OTHER FORMS IN CENTURY XXV, OF ELLIS AND EVERH ART'S NORTH AMERICAN FUNGI.
23/sxx03	DESCRIPTIONS OF TWENTY NEW SPECIES OF TJNIONES OF THE UNITED STATES.
49/sxx28	DESCRIPTIONS OF TWO NEW FORMS OF PERIDERIS.
40/sxx11	DESCRIPTIONS OF TWO NEW FOSSILS FROM THE DEVONIAN OF IOWA.
51/sxx16	DESCRIPTIONS OF TWO NEW GRAY FOXES.
58/sxx07	DESCRIPTIONS OF TWO NEW POLYCHJSTA FROM ALASKA.
49/sxx21	DESCRIPTIONS OF TWO NEW SPECIES OF CEEION.
45/sxx17	DESCRIPTIONS OF TWO NEW SPECIES OF NORTH AMERICAN BOMBYCIDAE.
43/sxx00	Digitized by tine Internet Arciiive in 2009 witii funding from Ontario Council of University Libraries http://www.archive.org/details/proceedingsofaca43acaduoft -7 5^7 ® c/) ^* 1891.
50/sxx13	DIPTERA COLLECTED BY DR. A. DONALDSON SMITH IN SOMALILAND, EASTERN AFRICA.
71/sxx08	DIPTEROLOGICAL NOTES AND DESCRIPTIONS.
40/sxx15	DISCOVERY OF THE VENTRAL STRUCTURE OF TAXOCRINUS AND HAPLOCRINUS, AND CONSEQUENT MODIFICATIONS IN THE CLASSIFICATION OF THE CRINOIDEA.
47/sxx13	DISTRIBUTION OF THE AMERICAN BISON IN PENNSYLVANIA, "WITH REMARKS ON A NEW FOSSIL SPECIES.
70/sxx09	DOCTOR DIXON'S LIFE AND SERVICES TO THE ACADEMY.
70/sxx10	DOCTOR DIXON'S WORK IN SANITARY SCIENCE.
47/sxx08	DOES THE DELAWARE WATER GAP CONSIST OF TWO RIVER GORGES 1 BY EMMA WALTER.
16/sxx24	DONATIONS TO LIBRARY 309 / Kennedy, J. C. G. Population of the United States in 1860.
07/sxx70	DONATIONS TO LIBRARY For Nove.mder and December, 1855.
07/sxx51	DONATIONS TO LIBRARY In January and Febrtjary, 1854.
05/sxx05	DONATIONS TO LIBRARY In January and February, 1850.
05/sxx27	DONATIONS TO LIBRARY In January and February, 1851.
06/sxx42	DONATIONS TO LIBRARY In January and February, 1853.
07/sxx61	DONATIONS TO LIBRARY In January and February, 1855.
06/sxx48	DONATIONS TO LIBRARY In Jcly and August, 1853.
07/sxx66	DONATIONS TO LIBRARY In July a.\d August, 1855.
05/sxx15	DONATIONS TO LIBRARY In July and AuGust, 1850.
06/sxx36	DONATIONS TO LIBRARY In July and August, 1852.
07/sxx57	DONATIONS TO LIBRARY In July and August, 1854.
08/sxx20	DONATIONS TO LIBRARY In July and August.
05/sxx08	DONATIONS TO LIBRARY In March and April, 1850.
05/sxx29	DONATIONS TO LIBRARY In March and April, 1851.
07/sxx53	DONATIONS TO LIBRARY In March and April, 1851.
06/sxx32	DONATIONS TO LIBRARY In March and April, 1852.
07/sxx63	DONATIONS TO LIBRARY In March and April, 1855.
08/sxx16	DONATIONS TO LIBRARY In March and April, 1856.
06/sxx46	DONATIONS TO LIBRARY In May akd June, 1853.
05/sxx12	DONATIONS TO LIBRARY In May and June, 1850.
05/sxx33	DONATIONS TO LIBRARY In May and June, 1851.
06/sxx34	DONATIONS TO LIBRARY In May and June, 1852.
07/sxx55	DONATIONS TO LIBRARY In May and June, 1854.
08/sxx18	DONATIONS TO LIBRARY In May and June, 1856.
07/sxx65	DONATIONS TO LIBRARY In May and Junk, 1855.
05/sxx42	DONATIONS TO LIBRARY In Nov. and Dec, 185J.
05/sxx43	DONATIONS TO LIBRARY In Nov. and Dec, 185J.
05/sxx23	DONATIONS TO LIBRARY In November and December, 1800.
06/sxx40	DONATIONS TO LIBRARY In November and December, 1852.
06/sxx52	DONATIONS TO LIBRARY In November and December, 1853.
08/sxx24	DONATIONS TO LIBRARY In November and December, 1856.
06/sxx38	DONATIONS TO LIBRARY In September and October, 1852.
06/sxx50	DONATIONS TO LIBRARY In September and October, 1853.
08/sxx22	DONATIONS TO LIBRARY In September and October, 1856.
05/sxx19	DONATIONS TO LIBRARY In September and October, JS50.
07/sxx59	DONATIONS TO LIBRARY In September and OctobeRj 1S54.
07/sxx68	DONATIONS TO LIBRARY In September and Octoher, 1855.
08/sxx14	DONATIONS TO LIBRARY Ix January and FEtouAUY, 1856.
06/sxx30	DONATIONS TO LIBRARY, In Jan. and Feb., 1852.
01/sxx03	DONATIONS TO LIBRARY.
01/sxx05	DONATIONS TO LIBRARY.
01/sxx07	DONATIONS TO LIBRARY.
01/sxx08	DONATIONS TO LIBRARY.
01/sxx104	DONATIONS TO LIBRARY.
01/sxx107	DONATIONS TO LIBRARY.
01/sxx110	DONATIONS TO LIBRARY.
01/sxx115	DONATIONS TO LIBRARY.
01/sxx117	DONATIONS TO LIBRARY.
01/sxx12	DONATIONS TO LIBRARY.
01/sxx120	DONATIONS TO LIBRARY.
01/sxx125	DONATIONS TO LIBRARY.
01/sxx129	DONATIONS TO LIBRARY.
01/sxx131	DONATIONS TO LIBRARY.
01/sxx134	DONATIONS TO LIBRARY.
01/sxx14	DONATIONS TO LIBRARY.
01/sxx141	DONATIONS TO LIBRARY.
01/sxx143	DONATIONS TO LIBRARY.
01/sxx146	DONATIONS TO LIBRARY.
01/sxx154	DONATIONS TO LIBRARY.
01/sxx157	DONATIONS TO LIBRARY.
01/sxx16	DONATIONS TO LIBRARY.
01/sxx162	DONATIONS TO LIBRARY.
01/sxx167	DONATIONS TO LIBRARY.
01/sxx171	DONATIONS TO LIBRARY.
01/sxx174	DONATIONS TO LIBRARY.
01/sxx177	DONATIONS TO LIBRARY.
01/sxx183	DONATIONS TO LIBRARY.
01/sxx187	DONATIONS TO LIBRARY.
01/sxx192	DONATIONS TO LIBRARY.
01/sxx197	DONATIONS TO LIBRARY.
01/sxx20	DONATIONS TO LIBRARY.
01/sxx200	DONATIONS TO LIBRARY.
01/sxx205	DONATIONS TO LIBRARY.
01/sxx211	DONATIONS TO LIBRARY.
01/sxx213	DONATIONS TO LIBRARY.
01/sxx216	DONATIONS TO LIBRARY.
01/sxx218	DONATIONS TO LIBRARY.
01/sxx22	DONATIONS TO LIBRARY.
06/sxx44	DONATIONS TO LIBRARY.
09/sxx13	DONATIONS TO LIBRARY.
09/sxx15	DONATIONS TO LIBRARY.
09/sxx17	DONATIONS TO LIBRARY.
09/sxx19	DONATIONS TO LIBRARY.
09/sxx20	DONATIONS TO LIBRARY.
09/sxx21	DONATIONS TO LIBRARY.
09/sxx22	DONATIONS TO LIBRARY.
09/sxx24	DONATIONS TO LIBRARY.
09/sxx26	DONATIONS TO LIBRARY.
10/sxx15	DONATIONS TO LIBRARY.
10/sxx16	DONATIONS TO LIBRARY.
10/sxx17	DONATIONS TO LIBRARY.
10/sxx18	DONATIONS TO LIBRARY.
10/sxx19	DONATIONS TO LIBRARY.
10/sxx20	DONATIONS TO LIBRARY.
10/sxx21	DONATIONS TO LIBRARY.
10/sxx22	DONATIONS TO LIBRARY.
10/sxx23	DONATIONS TO LIBRARY.
10/sxx24	DONATIONS TO LIBRARY.
10/sxx25	DONATIONS TO LIBRARY.
10/sxx26	DONATIONS TO LIBRARY.
10/sxx27	DONATIONS TO LIBRARY.
10/sxx28	DONATIONS TO LIBRARY.
10/sxx29	DONATIONS TO LIBRARY.
10/sxx30	DONATIONS TO LIBRARY.
10/sxx31	DONATIONS TO LIBRARY.
10/sxx32	DONATIONS TO LIBRARY.
10/sxx33	DONATIONS TO LIBRARY.
10/sxx34	DONATIONS TO LIBRARY.
10/sxx35	DONATIONS TO LIBRARY.
10/sxx36	DONATIONS TO LIBRARY.
10/sxx37	DONATIONS TO LIBRARY.
10/sxx38	DONATIONS TO LIBRARY.
10/sxx39	DONATIONS TO LIBRARY.
10/sxx40	DONATIONS TO LIBRARY.
10/sxx41	DONATIONS TO LIBRARY.
11/sxx15	DONATIONS TO LIBRARY.
11/sxx16	DONATIONS TO LIBRARY.
11/sxx18	DONATIONS TO LIBRARY.
11/sxx19	DONATIONS TO LIBRARY.
11/sxx21	DONATIONS TO LIBRARY.
11/sxx22	DONATIONS TO LIBRARY.
11/sxx24	DONATIONS TO LIBRARY.
11/sxx26	DONATIONS TO LIBRARY.
11/sxx28	DONATIONS TO LIBRARY.
11/sxx30	DONATIONS TO LIBRARY.
11/sxx31	DONATIONS TO LIBRARY.
13/sxx14	DONATIONS TO LIBRARY.
13/sxx15	DONATIONS TO LIBRARY.
13/sxx16	DONATIONS TO LIBRARY.
13/sxx17	DONATIONS TO LIBRARY.
13/sxx18	DONATIONS TO LIBRARY.
13/sxx19	DONATIONS TO LIBRARY.
13/sxx20	DONATIONS TO LIBRARY.
13/sxx22	DONATIONS TO LIBRARY.
13/sxx23	DONATIONS TO LIBRARY.
13/sxx24	DONATIONS TO LIBRARY.
13/sxx25	DONATIONS TO LIBRARY.
13/sxx26	DONATIONS TO LIBRARY.
13/sxx27	DONATIONS TO LIBRARY.
13/sxx28	DONATIONS TO LIBRARY.
13/sxx29	DONATIONS TO LIBRARY.
13/sxx31	DONATIONS TO LIBRARY.
14/sxx14	DONATIONS TO LIBRARY.
14/sxx15	DONATIONS TO LIBRARY.
14/sxx16	DONATIONS TO LIBRARY.
14/sxx17	DONATIONS TO LIBRARY.
14/sxx18	DONATIONS TO LIBRARY.
14/sxx19	DONATIONS TO LIBRARY.
14/sxx20	DONATIONS TO LIBRARY.
14/sxx21	DONATIONS TO LIBRARY.
14/sxx22	DONATIONS TO LIBRARY.
14/sxx23	DONATIONS TO LIBRARY.
14/sxx24	DONATIONS TO LIBRARY.
14/sxx25	DONATIONS TO LIBRARY.
14/sxx26	DONATIONS TO LIBRARY.
15/sxx08	DONATIONS TO LIBRARY.
15/sxx09	DONATIONS TO LIBRARY.
15/sxx11	DONATIONS TO LIBRARY.
15/sxx12	DONATIONS TO LIBRARY.
15/sxx13	DONATIONS TO LIBRARY.
15/sxx14	DONATIONS TO LIBRARY.
15/sxx15	DONATIONS TO LIBRARY.
15/sxx16	DONATIONS TO LIBRARY.
15/sxx17	DONATIONS TO LIBRARY.
16/sxx14	DONATIONS TO LIBRARY.
16/sxx15	DONATIONS TO LIBRARY.
16/sxx16	DONATIONS TO LIBRARY.
16/sxx17	DONATIONS TO LIBRARY.
16/sxx18	DONATIONS TO LIBRARY.
16/sxx19	DONATIONS TO LIBRARY.
16/sxx20	DONATIONS TO LIBRARY.
16/sxx21	DONATIONS TO LIBRARY.
16/sxx22	DONATIONS TO LIBRARY.
16/sxx23	DONATIONS TO LIBRARY.
16/sxx25	DONATIONS TO LIBRARY.
16/sxx26	DONATIONS TO LIBRARY.
16/sxx27	DONATIONS TO LIBRARY.
17/sxx13	DONATIONS TO LIBRARY.
17/sxx14	DONATIONS TO LIBRARY.
17/sxx15	DONATIONS TO LIBRARY.
17/sxx16	DONATIONS TO LIBRARY.
17/sxx17	DONATIONS TO LIBRARY.
17/sxx18	DONATIONS TO LIBRARY.
17/sxx19	DONATIONS TO LIBRARY.
17/sxx20	DONATIONS TO LIBRARY.
17/sxx21	DONATIONS TO LIBRARY.
17/sxx22	DONATIONS TO LIBRARY.
17/sxx23	DONATIONS TO LIBRARY.
20/sxx11	DONATIONS TO LIBRARY.
20/sxx12	DONATIONS TO LIBRARY.
20/sxx13	DONATIONS TO LIBRARY.
20/sxx14	DONATIONS TO LIBRARY.
20/sxx15	DONATIONS TO LIBRARY.
20/sxx16	DONATIONS TO LIBRARY.
20/sxx17	DONATIONS TO LIBRARY.
20/sxx18	DONATIONS TO LIBRARY.
20/sxx19	DONATIONS TO LIBRARY.
20/sxx20	DONATIONS TO LIBRARY.
20/sxx21	DONATIONS TO LIBRARY.
20/sxx22	DONATIONS TO LiBRARY.
20/sxx23	DONATIONS TO LIBRARY.
20/sxx24	DONATIONS TO LIBRARY.
20/sxx25	DONATIONS TO LIBRARY.
20/sxx26	DONATIONS TO LIBRARY.
20/sxx27	DONATIONS TO LIBRARY.
20/sxx28	DONATIONS TO LIBRARY.
21/sxx12	DONATIONS TO LIBRARY.
21/sxx13	DONATIONS TO LIBRARY.
21/sxx14	DONATIONS TO LIBRARY.
21/sxx15	DONATIONS TO LIBRARY.
21/sxx16	DONATIONS TO LIBRARY.
21/sxx17	DONATIONS TO LIBRARY.
21/sxx18	DONATIONS TO LIBRARY.
21/sxx19	DONATIONS TO LIBRARY.
21/sxx20	DONATIONS TO LIBRARY.
21/sxx21	DONATIONS TO LIBRARY.
21/sxx22	DONATIONS TO LIBRARY.
21/sxx23	DONATIONS TO LIBRARY.
15/sxx10	DONATIONS TO LIBRARY. "
05/sxx26	DONATIONS TO MUSEUM In January and February, 1851.
06/sxx41	DONATIONS TO MUSEUM In January and FEBRUARy, 1853.
07/sxx50	DONATIONS TO MUSEUM In January and February, 1854.
05/sxx04	DONATIONS TO MUSEUM In January and FebruarYj 1850.
08/sxx13	DONATIONS TO MUSEUM In January and FebruarYj 1856.
08/sxx19	DONATIONS TO MUSEUM In Jclt and August, 1856.
05/sxx14	DONATIONS TO MUSEUM In July and August, 1850.
05/sxx36	DONATIONS TO MUSEUM In July and August, 1851.
06/sxx35	DONATIONS TO MUSEUM In July and August, 1852.
06/sxx47	DONATIONS TO MUSEUM In July and August, 1853.
05/sxx28	DONATIONS TO MUSEUM In March and April, 1851.
07/sxx52	DONATIONS TO MUSEUM In March and April, 1851.
06/sxx31	DONATIONS TO MUSEUM In March and April, 1852.
08/sxx15	DONATIONS TO MUSEUM In Marcu and April, 1856.
05/sxx11	DONATIONS TO MUSEUM In May and June, 1850.
05/sxx32	DONATIONS TO MUSEUM In May and June, 1851.
06/sxx33	DONATIONS TO MUSEUM In May and June, 1852.
06/sxx45	DONATIONS TO MUSEUM In May and June, 1853.
07/sxx54	DONATIONS TO MUSEUM In May and June, 1854.
07/sxx64	DONATIONS TO MUSEUM In May and June, 1855.
08/sxx17	DONATIONS TO MUSEUM In May and June, 1856.
06/sxx51	DONATIONS TO MUSEUM In Nov;ember and December, 1853.
07/sxx69	DONATIONS TO MUSEUM In Novembee and December, 1855. jyovem''er Gt/t.
05/sxx21	DONATIONS TO MUSEUM In November and December, 1850.
05/sxx22	DONATIONS TO MUSEUM In November and December, 1850.
06/sxx39	DONATIONS TO MUSEUM In November and December, 1852.
07/sxx60	DONATIONS TO MUSEUM In November and December, 1854.
08/sxx23	DONATIONS TO MUSEUM In November and December, 1856.
07/sxx67	DONATIONS TO MUSEUM In Septe.mber .
05/sxx18	DONATIONS TO MUSEUM In September and October, 1850.
05/sxx39	DONATIONS TO MUSEUM In September and October, 1851.
06/sxx37	DONATIONS TO MUSEUM In September and October, 1852.
06/sxx49	DONATIONS TO MUSEUM In September and October, 1853.
07/sxx58	DONATIONS TO MUSEUM In September and October, 1854.
08/sxx21	DONATIONS TO MUSEUM In September and October, 1856.
07/sxx62	DONATIONS TO MUSEUM Ix March and April, 1855.
07/sxx56	DONATIONS TO MUSEUM Jn August, 1854.
06/sxx29	DONATIONS TO MUSEUM, In Jan. and Feb., 1852.
01/sxx02	DONATIONS TO MUSEUM.
01/sxx04	DONATIONS TO MUSEUM.
01/sxx06	DONATIONS TO MUSEUM.
01/sxx09	DONATIONS TO MUSEUM.
01/sxx10	DONATIONS TO MUSEUM.
01/sxx103	DONATIONS TO MUSEUM.
01/sxx106	DONATIONS TO MUSEUM.
01/sxx11	DONATIONS TO MUSEUM.
01/sxx114	DONATIONS TO MUSEUM.
01/sxx116	DONATIONS TO MUSEUM.
01/sxx119	DONATIONS TO MUSEUM.
01/sxx124	DONATIONS TO MUSEUM.
01/sxx127	DONATIONS TO MUSEUM.
01/sxx128	DONATIONS TO MUSEUM.
01/sxx13	DONATIONS TO MUSEUM.
01/sxx133	DONATIONS TO MUSEUM.
01/sxx136	DONATIONS TO MUSEUM.
01/sxx138	DONATIONS TO MUSEUM.
01/sxx140	DONATIONS TO MUSEUM.
01/sxx145	DONATIONS TO MUSEUM.
01/sxx15	DONATIONS TO MUSEUM.
01/sxx153	DONATIONS TO MUSEUM.
01/sxx156	DONATIONS TO MUSEUM.
01/sxx161	DONATIONS TO MUSEUM.
01/sxx166	DONATIONS TO MUSEUM.
01/sxx17	DONATIONS TO MUSEUM.
01/sxx173	DONATIONS TO MUSEUM.
01/sxx182	DONATIONS TO MUSEUM.
01/sxx186	DONATIONS TO MUSEUM.
01/sxx19	DONATIONS TO MUSEUM.
01/sxx196	DONATIONS TO MUSEUM.
01/sxx199	DONATIONS TO MUSEUM.
01/sxx204	DONATIONS TO MUSEUM.
01/sxx210	DONATIONS TO MUSEUM.
01/sxx220	DONATIONS TO MUSEUM.
01/sxx222	DONATIONS TO MUSEUM.
05/sxx07	DONATIONS TO MUSEUM.
06/sxx43	DONATIONS TO MUSEUM.
09/sxx07	DONATIONS TO MUSEUM.
09/sxx08	DONATIONS TO MUSEUM.
09/sxx10	DONATIONS TO MUSEUM.
09/sxx12	DONATIONS TO MUSEUM.
10/sxx08	DONATIONS TO MUSEUM.
10/sxx09	DONATIONS TO MUSEUM.
10/sxx10	DONATIONS TO MUSEUM.
10/sxx11	DONATIONS TO MUSEUM.
10/sxx12	DONATIONS TO MUSEUM.
10/sxx13	DONATIONS TO MUSEUM.
10/sxx14	DONATIONS TO MUSEUM.
11/sxx09	DONATIONS TO MUSEUM.
11/sxx10	DONATIONS TO MUSEUM.
11/sxx12	DONATIONS TO MUSEUM.
11/sxx14	DONATIONS TO MUSEUM.
13/sxx08	DONATIONS TO MUSEUM.
13/sxx09	DONATIONS TO MUSEUM.
13/sxx10	DONATIONS TO MUSEUM.
13/sxx11	DONATIONS TO MUSEUM.
13/sxx12	DONATIONS TO MUSEUM.
13/sxx13	DONATIONS TO MUSEUM.
13/sxx30	DONATIONS TO MUSEUM.
14/sxx11	DONATIONS TO MUSEUM.
14/sxx12	DONATIONS TO MUSEUM.
14/sxx13	DONATIONS TO MUSEUM.
15/sxx07	DONATIONS TO MUSEUM.
16/sxx12	DONATIONS TO MUSEUM.
16/sxx13	DONATIONS TO MUSEUM.
17/sxx12	DONATIONS TO MUSEUM.
20/sxx08	DONATIONS TO MUSEUM.
20/sxx09	DONATIONS TO MUSEUM.
20/sxx10	DONATIONS TO MUSEUM.
01/sxx190	DONATIONS TO MUSEUM.^ Skins of the following Birds, from Western Africa, were presented by Mr. Cassin, viz : Chizasrhis variegata, Lauius cissoides, Centropus Senegalensis, mollissimus, Pterocles tricinctus, Buphaga Africana, Merops hirundinacea, Lamprotornis leucogaster.
49/sxx30	DR. ALLEN'S CONTRIBUTIONS TO ANTHROPOLOGY.
07/sxx10	DX.
43/sxx09	ECHINODERMS AND ARTHROPODS FROM JAPAN.
43/sxx16	ECHINODERMS AND CRUSTACEANS COLLECTED BY THE WEST GREENLAND EXPEDITION OF 1891.
53/sxx06	ECHINODERMS COLLECTED OFF THE WEST COAST OF GREENLAND BY THE PRINCETON ARCTIC EXPEDITION OF 1899.
43/sxx12	ECHINODERMS FROM THE BAHAMA ISLANDS.
ON A COLL	ECTION OF CRUSTACEA FROM VIRGINIA, NORTH CAROLINA,
06/sxx15	ELECTION OF MEMBERS AND CORRESPONDENT.
08/sxx25	ELECTION OF MEMBERS AND CORRESPONDENTS.
05/sxx24	ELECTION OF MEMBERS.
07/sxx33	ELECTION OF MEMBERS.
08/sxx03	ELECTION OF MEMnERS AND CORRESPONDENTS.
05/sxx31	ELECTION OP MEMBERS.
06/sxx25	ELECTION or MEMBER AND CORRESPONDENT.
07/sxx12	ELECTION-.
01/sxx181	ELECTION.
01/sxx209	ELECTION.
05/sxx02	ELECTION.
05/sxx03	ELECTION.
05/sxx06	ELECTION.
05/sxx09	ELECTION.
05/sxx10	ELECTION.
05/sxx13	ELECTION.
05/sxx16	ELECTION.
05/sxx17	ELECTION.
05/sxx20	ELECTION.
05/sxx25	ELECTION.
05/sxx30	ELECTION.
05/sxx34	ELECTION.
05/sxx35	ELECTION.
05/sxx37	ELECTION.
05/sxx38	ELECTION.
05/sxx40	ELECTION.
06/sxx02	ELECTION.
06/sxx04	ELECTION.
06/sxx05	ELECTION.
06/sxx06	ELECTION.
06/sxx07	ELECTION.
06/sxx08	ELECTION.
06/sxx11	ELECTION.
06/sxx14	ELECTION.
06/sxx16	ELECTION.
06/sxx17	ELECTION.
06/sxx18	ELECTION.
06/sxx20	ELECTION.
06/sxx23	ELECTION.
07/sxx02	ELECTION.
07/sxx03	ELECTION.
07/sxx11	ELECTION.
07/sxx13	ELECTION.
07/sxx14	ELECTION.
07/sxx28	ELECTION.
07/sxx29	ELECTION.
07/sxx34	ELECTION.
07/sxx35	ELECTION.
07/sxx36	ELECTION.
07/sxx43	ELECTION.
07/sxx44	ELECTION.
07/sxx45	ELECTION.
08/sxx04	ELECTION.
08/sxx05	ELECTION.
08/sxx06	ELECTION.
08/sxx07	ELECTION.
08/sxx08	ELECTION.
08/sxx09	ELECTION.
08/sxx10	ELECTION.
08/sxx12	ELECTION.
45/sxx28	ELECTIONS DC RING 1893.
31/sxx19	ELECTIONS DURINC 1879.
28/sxx01	ELECTIONS DURING 1876.
29/sxx08	ELECTIONS DURING 1877 MEMBERS.
30/sxx13	ELECTIONS DURING 1878.
32/sxx13	ELECTIONS DURING 1880.
33/sxx09	ELECTIONS DURING 1881.
34/sxx07	ELECTIONS DURING 1882.
35/sxx01	ELECTIONS DURING 1883.
36/sxx08	ELECTIONS DURING 1884.
37/sxx10	ELECTIONS DURING 1885.
38/sxx05	ELECTIONS DURING 1886.
39/sxx11	ELECTIONS DURING 1887.
40/sxx18	ELECTIONS DURING 1888.
41/sxx33	ELECTIONS DURING 1889.
42/sxx16	ELECTIONS DURING 1890.
43/sxx17	ELECTIONS DURING 1891.
44/sxx03	ELECTIONS DURING 1892.
46/sxx25	ELECTIONS DURING 1894.
47/sxx30	ELECTIONS DURING 1895.
48/sxx21	ELECTIONS DURING 1896.
49/sxx31	ELECTIONS DURING 1897.
50/sxx41	ELECTIONS DURING 1898.
51/sxx31	ELECTIONS DURING 1899.
52/sxx25	ELECTIONS DURING 1900.
53/sxx37	ELECTIONS DURING 1901.
54/sxx01	ELECTIONS DURING 1902.
55/sxx12	ELECTIONS DURING 1903.
56/sxx10	ELECTIONS DURING 1904.
57/sxx42	ELECTIONS DURING 1905.
58/sxx12	ELECTIONS DURING 1906.
59/sxx10	ELECTIONS DURING 1907.
60/sxx09	ELECTIONS DURING 1908. members.
61/sxx03	ELECTIONS DURING 1909.
62/sxx14	ELECTIONS DURING 1910.
22/sxx03	ELECTIONS EOE 1870.
15/sxx03	ELECTIONS FOR 186 3.
16/sxx07	ELECTIONS FOR 1864.
17/sxx07	ELECTIONS FOR 1865.
18/sxx01	ELECTIONS FOR 1866.
20/sxx05	ELECTIONS FOR 1868.
21/sxx05	ELECTIONS FOR 1869.
24/sxx09	ELECTIONS FOR 1872.
25/sxx22	ELECTIONS FOR 1873.
23/sxx08	ELECTIONS FOR 18tl.
14/sxx06	ELECTIONS IN 186 2.
13/sxx03	ELECTIONS IN 1861.
63/sxx06	ELECTIONS IN 1911.
64/sxx14	ELECTIONS IN 1912.
65/sxx06	ELECTIONS IN 1913.
66/sxx11	ELECTIONS IN 1914.
67/sxx25	ELECTIONS IN 1915.
68/sxx06	ELECTIONS IN 1916.
69/sxx11	ELECTIONS IN 1917.
70/sxx15	ELECTIONS IN 1918.
71/sxx13	ELECTIONS IN 1919.
01/sxx123	ELECTIONS.
06/sxx03	ELECTIONS.
06/sxx09	ELECTIONS.
06/sxx10	ELECTIONS.
06/sxx12	ELECTIONS.
06/sxx19	ELECTIONS.
